"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 14, 2009","1,611.58","1,623.49","1,624.47","1,596.95","224.97M","-1.05%"
"Aug 13, 2009","1,628.65","1,628.37","1,632.20","1,611.24","233.40M","0.56%"
"Aug 12, 2009","1,619.59","1,595.26","1,634.12","1,594.76","266.47M","1.56%"
"Aug 11, 2009","1,594.69","1,603.68","1,605.80","1,587.40","217.28M","-0.98%"
"Aug 10, 2009","1,610.43","1,612.73","1,619.02","1,599.46","209.47M","-0.56%"
"Aug 07, 2009","1,619.49","1,620.74","1,628.44","1,609.54","260.36M","1.20%"
"Aug 06, 2009","1,600.29","1,618.01","1,623.25","1,595.36","282.92M","-0.88%"
"Aug 05, 2009","1,614.44","1,631.75","1,631.75","1,604.09","278.70M","-0.86%"
"Aug 04, 2009","1,628.49","1,619.09","1,633.16","1,616.54","254.22M","0.02%"
"Aug 03, 2009","1,628.12","1,619.24","1,628.30","1,611.60","246.75M","1.54%"
"Jul 31, 2009","1,603.36","1,608.26","1,619.67","1,602.25","266.42M","-0.40%"
"Jul 30, 2009","1,609.87","1,614.11","1,632.97","1,606.72","333.81M","0.64%"
"Jul 29, 2009","1,599.61","1,596.81","1,602.49","1,586.04","260.57M","-0.37%"
"Jul 28, 2009","1,605.47","1,590.77","1,609.17","1,583.27","262.88M","0.39%"
"Jul 27, 2009","1,599.31","1,597.02","1,602.28","1,580.52","240.66M","0.02%"
"Jul 24, 2009","1,599.06","1,579.25","1,600.03","1,576.51","291.87M","-0.15%"
"Jul 23, 2009","1,601.52","1,561.60","1,605.09","1,561.54","369.27M","2.33%"
"Jul 22, 2009","1,565.00","1,552.63","1,572.48","1,551.16","331.58M","0.77%"
"Jul 21, 2009","1,553.01","1,548.90","1,553.01","1,530.80","295.09M","0.58%"
"Jul 20, 2009","1,544.00","1,534.39","1,545.02","1,529.45","263.53M","1.10%"
"Jul 17, 2009","1,527.26","1,516.77","1,527.26","1,511.61","304.06M","0.55%"
"Jul 16, 2009","1,518.87","1,495.40","1,521.67","1,494.57","312.90M","1.19%"
"Jul 15, 2009","1,500.98","1,473.59","1,501.41","1,470.09","389.75M","3.31%"
"Jul 14, 2009","1,452.84","1,444.59","1,455.00","1,439.57","278.96M","0.36%"
"Jul 13, 2009","1,447.70","1,423.20","1,447.70","1,402.19","288.97M","1.96%"
"Jul 10, 2009","1,419.84","1,409.55","1,427.90","1,405.58","249.22M","0.34%"
"Jul 09, 2009","1,414.98","1,417.00","1,423.44","1,409.13","258.70M","0.24%"
"Jul 08, 2009","1,411.53","1,412.54","1,417.35","1,394.87","343.08M","0.48%"
"Jul 07, 2009","1,404.78","1,440.83","1,443.06","1,403.60","280.84M","-2.51%"
"Jul 06, 2009","1,441.01","1,435.40","1,444.30","1,424.61","247.48M","-0.36%"
"Jul 02, 2009","1,446.28","1,464.66","1,465.18","1,443.75","257.38M","-2.37%"
"Jul 01, 2009","1,481.34","1,486.50","1,497.71","1,479.67","248.05M","0.28%"
"Jun 30, 2009","1,477.25","1,484.82","1,493.37","1,468.11","278.32M","-0.44%"
"Jun 29, 2009","1,483.83","1,483.66","1,493.57","1,468.98","232.39M","0.25%"
"Jun 26, 2009","1,480.20","1,467.38","1,483.57","1,466.24","344.74M","0.30%"
"Jun 25, 2009","1,475.82","1,438.75","1,477.97","1,434.97","276.02M","1.99%"
"Jun 24, 2009","1,447.06","1,436.59","1,458.23","1,435.28","267.37M","1.59%"
"Jun 23, 2009","1,424.46","1,427.68","1,432.92","1,413.54","268.36M","-0.15%"
"Jun 22, 2009","1,426.61","1,455.78","1,459.10","1,423.81","300.49M","-3.03%"
"Jun 19, 2009","1,471.23","1,465.88","1,477.95","1,460.45","452.28M","1.20%"
"Jun 18, 2009","1,453.80","1,456.14","1,464.04","1,445.31","237.34M","-0.14%"
"Jun 17, 2009","1,455.89","1,449.00","1,470.11","1,439.38","300.64M","0.88%"
"Jun 16, 2009","1,443.25","1,463.46","1,469.16","1,442.81","276.61M","-0.94%"
"Jun 15, 2009","1,456.96","1,472.77","1,473.07","1,445.30","266.98M","-2.22%"
"Jun 12, 2009","1,489.97","1,488.73","1,489.97","1,470.20","227.05M","-0.47%"
"Jun 11, 2009","1,497.01","1,494.07","1,511.94","1,493.16","279.33M","0.12%"
"Jun 10, 2009","1,495.27","1,509.43","1,509.43","1,473.88","275.49M","-0.42%"
"Jun 09, 2009","1,501.55","1,495.04","1,509.57","1,489.22","258.75M","0.88%"
"Jun 08, 2009","1,488.49","1,482.21","1,499.96","1,467.13","239.44M","-0.32%"
"Jun 05, 2009","1,493.21","1,503.78","1,505.77","1,479.22","285.50M","0.03%"
"Jun 04, 2009","1,492.74","1,476.28","1,493.66","1,476.28","254.53M","1.17%"
"Jun 03, 2009","1,475.44","1,472.25","1,476.98","1,459.59","291.61M","-0.33%"
"Jun 02, 2009","1,480.31","1,470.30","1,493.80","1,466.28","293.46M","0.22%"
"Jun 01, 2009","1,477.12","1,451.37","1,482.19","1,446.97","394.75M","2.89%"
"May 29, 2009","1,435.57","1,421.11","1,435.57","1,411.68","394.72M","1.07%"
"May 28, 2009","1,420.31","1,411.42","1,423.81","1,389.76","291.91M","1.31%"
"May 27, 2009","1,401.88","1,408.59","1,428.81","1,398.42","297.97M","-0.76%"
"May 26, 2009","1,412.61","1,351.13","1,414.44","1,350.95","313.56M","3.63%"
"May 22, 2009","1,363.17","1,371.76","1,379.88","1,353.59","212.25M","-0.31%"
"May 21, 2009","1,367.39","1,378.83","1,391.00","1,353.53","307.90M","-1.89%"
"May 20, 2009","1,393.72","1,401.37","1,423.13","1,388.81","272.23M","-0.31%"
"May 19, 2009","1,398.05","1,387.20","1,410.74","1,379.88","250.77M","0.38%"
"May 18, 2009","1,392.73","1,367.05","1,392.73","1,357.42","254.66M","2.78%"
"May 15, 2009","1,355.11","1,355.55","1,374.10","1,351.13","278.34M","-0.34%"
"May 14, 2009","1,359.67","1,348.33","1,369.31","1,344.77","283.47M","1.48%"
"May 13, 2009","1,339.83","1,364.43","1,365.33","1,339.82","298.14M","-2.73%"
"May 12, 2009","1,377.40","1,402.14","1,402.14","1,362.08","305.34M","-1.32%"
"May 11, 2009","1,395.79","1,375.05","1,410.43","1,369.36","301.15M","0.12%"
"May 08, 2009","1,394.16","1,399.21","1,411.27","1,377.06","395.70M","0.31%"
"May 07, 2009","1,389.83","1,429.97","1,431.36","1,377.55","406.88M","-2.39%"
"May 06, 2009","1,423.85","1,433.58","1,435.80","1,401.10","327.75M","0.00%"
"May 05, 2009","1,423.81","1,423.88","1,425.05","1,408.29","313.73M","-0.29%"
"May 04, 2009","1,427.96","1,407.65","1,428.02","1,403.47","333.41M","2.24%"
"May 01, 2009","1,396.62","1,396.22","1,403.89","1,382.90","273.34M","0.16%"
"Apr 30, 2009","1,394.33","1,398.44","1,418.77","1,384.37","409.61M","0.86%"
"Apr 29, 2009","1,382.38","1,373.30","1,398.36","1,370.52","324.62M","1.50%"
"Apr 28, 2009","1,361.92","1,362.94","1,378.56","1,355.99","282.98M","-0.59%"
"Apr 27, 2009","1,369.94","1,359.88","1,384.85","1,357.39","314.96M","-0.24%"
"Apr 24, 2009","1,373.28","1,352.55","1,379.38","1,345.03","410.58M","2.15%"
"Apr 23, 2009","1,344.41","1,340.77","1,345.67","1,321.42","398.85M","0.65%"
"Apr 22, 2009","1,335.72","1,322.10","1,362.84","1,317.51","409.10M","0.50%"
"Apr 21, 2009","1,329.06","1,303.87","1,330.67","1,303.73","362.84M","1.50%"
"Apr 20, 2009","1,309.37","1,330.18","1,333.72","1,303.85","510.17M","-3.29%"
