"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 29, 2017","239.42","239.15","239.65","238.77","3.38M","0.45%"
"Nov 28, 2017","238.34","236.32","238.44","236.23","4.84M","1.11%"
"Nov 27, 2017","235.73","235.50","236.33","235.39","2.33M","0.11%"
"Nov 24, 2017","235.47","235.56","235.87","235.41","1.44M","0.13%"
"Nov 22, 2017","235.17","236.06","236.06","234.95","2.86M","-0.24%"
"Nov 21, 2017","235.73","235.17","235.99","235.10","2.75M","0.67%"
"Nov 20, 2017","234.15","233.66","234.37","233.42","2.06M","0.33%"
"Nov 17, 2017","233.39","233.77","233.97","233.36","3.48M","-0.65%"
"Nov 16, 2017","234.91","234.22","235.28","234.19","2.93M","0.84%"
"Nov 15, 2017","232.96","233.16","233.67","232.65","2.82M","-0.56%"
"Nov 14, 2017","234.28","233.97","234.35","232.91","2.57M","-0.16%"
"Nov 13, 2017","234.66","233.66","234.78","233.63","2.45M","0.10%"
"Nov 10, 2017","234.43","234.45","234.67","234.10","2.51M","-0.12%"
"Nov 09, 2017","234.72","234.49","235.28","233.16","4.23M","-0.31%"
"Nov 08, 2017","235.46","235.37","235.61","234.97","1.53M","0.02%"
"Nov 07, 2017","235.42","235.70","235.88","234.69","2.39M","0.00%"
"Nov 06, 2017","235.41","235.23","235.59","235.09","2.55M","0.10%"
"Nov 03, 2017","235.18","235.36","235.39","234.64","2.57M","0.09%"
"Nov 02, 2017","234.96","234.21","235.17","233.32","2.46M","0.33%"
"Nov 01, 2017","234.19","234.60","235.02","233.73","2.68M","0.24%"
"Oct 31, 2017","233.63","233.64","233.91","233.20","1.77M","0.13%"
"Oct 30, 2017","233.33","233.52","234.14","233.15","2.67M","-0.36%"
"Oct 27, 2017","234.17","233.95","234.33","233.36","2.94M","0.14%"
"Oct 26, 2017","233.85","233.91","234.42","233.75","2.58M","0.30%"
"Oct 25, 2017","233.16","234.45","234.45","232.35","3.81M","-0.48%"
"Oct 24, 2017","234.29","234.11","234.70","233.96","3.30M","0.70%"
"Oct 23, 2017","232.65","233.58","233.58","232.61","2.33M","-0.21%"
"Oct 20, 2017","233.13","232.47","233.13","231.89","3.28M","0.64%"
"Oct 19, 2017","231.65","230.84","231.66","230.52","2.31M","0.08%"
"Oct 18, 2017","231.46","231.00","231.68","230.91","2.72M","0.70%"
"Oct 17, 2017","229.85","229.71","229.96","229.52","1.84M","0.17%"
"Oct 16, 2017","229.45","229.07","229.53","228.81","2.37M","0.31%"
"Oct 13, 2017","228.73","228.71","228.97","228.51","1.74M","0.18%"
"Oct 12, 2017","228.33","228.49","228.81","228.15","1.31M","-0.12%"
"Oct 11, 2017","228.61","228.32","228.64","228.17","1.42M","0.15%"
"Oct 10, 2017","228.26","228.21","228.43","227.64","1.42M","0.32%"
"Oct 09, 2017","227.53","227.89","227.96","227.34","1.01M","-0.01%"
"Oct 06, 2017","227.55","227.34","227.63","227.23","2.09M","-0.04%"
"Oct 05, 2017","227.64","226.61","227.66","226.45","2.26M","0.54%"
"Oct 04, 2017","226.41","226.39","226.68","226.18","1.75M","0.08%"
"Oct 03, 2017","226.24","225.74","226.28","225.61","2.51M","0.44%"
"Oct 02, 2017","225.24","224.19","225.39","224.02","2.61M","0.63%"
"Sep 29, 2017","223.82","223.39","223.87","223.13","2.42M","0.10%"
"Sep 28, 2017","223.60","222.97","223.77","222.70","1.46M","0.22%"
"Sep 27, 2017","223.12","223.40","223.52","222.35","2.38M","0.19%"
"Sep 26, 2017","222.69","223.06","223.50","222.62","1.31M","-0.06%"
"Sep 25, 2017","222.82","223.11","223.43","221.99","2.84M","-0.17%"
"Sep 22, 2017","223.20","223.22","223.46","222.82","2.45M","-0.12%"
"Sep 21, 2017","223.47","223.90","223.97","223.39","1.74M","-0.19%"
"Sep 20, 2017","223.90","223.57","223.95","222.95","1.82M","0.14%"
"Sep 19, 2017","223.58","223.37","223.67","223.23","2.04M","0.19%"
"Sep 18, 2017","223.16","222.92","223.39","222.67","1.83M","0.32%"
"Sep 15, 2017","222.45","222.13","222.57","221.91","2.38M","0.06%"
"Sep 14, 2017","222.32","221.65","222.43","221.62","1.89M","0.25%"
"Sep 13, 2017","221.76","221.35","221.79","221.20","1.72M","0.15%"
"Sep 12, 2017","221.42","221.33","221.57","221.07","2.07M","0.30%"
"Sep 11, 2017","220.76","219.58","220.88","219.58","3.02M","1.15%"
"Sep 08, 2017","218.24","217.61","218.66","217.52","2.14M","0.06%"
"Sep 07, 2017","218.11","218.47","218.72","217.68","1.98M","-0.06%"
"Sep 06, 2017","218.25","218.54","218.62","218.04","1.92M","0.27%"
"Sep 05, 2017","217.67","219.53","219.53","217.18","3.83M","-1.02%"
"Sep 01, 2017","219.92","220.13","220.41","219.83","2.15M","0.18%"
"Aug 31, 2017","219.52","219.53","219.89","219.12","2.17M","0.27%"
"Aug 30, 2017","218.93","218.75","219.16","218.39","1.80M","0.16%"
"Aug 29, 2017","218.59","216.68","218.76","216.62","2.01M","0.30%"
"Aug 28, 2017","217.94","218.50","218.58","217.53","1.43M","-0.05%"
"Aug 25, 2017","218.04","218.26","218.93","218.00","2.37M","0.17%"
"Aug 24, 2017","217.66","218.55","218.55","217.46","1.93M","-0.12%"
"Aug 23, 2017","217.92","218.01","218.46","217.84","3.66M","-0.35%"
"Aug 22, 2017","218.69","217.41","218.85","217.30","2.42M","0.90%"
"Aug 21, 2017","216.74","216.46","216.92","215.73","3.47M","0.10%"
"Aug 18, 2017","216.53","216.99","217.66","216.15","4.47M","-0.59%"
"Aug 17, 2017","217.81","220.00","220.07","217.77","3.54M","-1.21%"
"Aug 16, 2017","220.47","220.70","221.10","220.28","2.48M","0.14%"
"Aug 15, 2017","220.16","220.58","220.58","219.86","1.84M","0.09%"
"Aug 14, 2017","219.97","219.88","220.28","219.81","2.61M","0.58%"
"Aug 11, 2017","218.70","218.76","219.22","218.52","4.94M","0.05%"
"Aug 10, 2017","218.60","219.81","219.90","218.55","7.83M","-0.86%"
"Aug 09, 2017","220.50","220.33","220.61","219.96","3.56M","-0.09%"
"Aug 08, 2017","220.69","220.80","221.68","220.44","3.62M","-0.07%"
"Aug 07, 2017","220.85","220.75","220.98","220.60","1.90M","0.13%"
"Aug 04, 2017","220.57","220.64","220.67","220.03","1.88M","0.23%"
"Aug 03, 2017","220.06","219.93","220.23","219.72","2.50M","0.08%"
"Aug 02, 2017","219.89","219.83","220.13","219.44","3.06M","0.24%"
"Aug 01, 2017","219.37","219.74","219.80","219.15","2.31M","0.31%"
