Exchange Date,Close,Net,%Chg,Open,Low,High,O-C,H-L
18-Nov-2019,"3,122.03",+1.57,+0.05%,"3,117.91","3,112.06","3,124.17",4.12,12.11
15-Nov-2019,"3,120.46",+23.83,+0.77%,"3,107.92","3,104.60","3,120.46",12.54,15.86
14-Nov-2019,"3,096.63",+2.59,+0.08%,"3,090.75","3,083.26","3,098.20",5.88,14.94
13-Nov-2019,"3,094.04",+2.20,+0.07%,"3,084.18","3,078.80","3,098.06",9.86,19.26
12-Nov-2019,"3,091.84",+4.83,+0.16%,"3,089.28","3,084.73","3,102.61",2.56,17.88
11-Nov-2019,"3,087.01",-6.07,-0.20%,"3,080.33","3,075.82","3,088.33",6.68,12.51
08-Nov-2019,"3,093.08",+7.90,+0.26%,"3,081.25","3,073.58","3,093.09",11.83,19.51
07-Nov-2019,"3,085.18",+8.40,+0.27%,"3,087.02","3,080.23","3,097.77",-1.84,17.54
06-Nov-2019,"3,076.78",+2.16,+0.07%,"3,075.10","3,065.89","3,078.34",1.68,12.45
05-Nov-2019,"3,074.62",-3.65,-0.12%,"3,080.80","3,072.15","3,083.95",-6.18,11.80
04-Nov-2019,"3,078.27",+11.36,+0.37%,"3,078.96","3,074.87","3,085.20",-0.69,10.33
01-Nov-2019,"3,066.91",+29.35,+0.97%,"3,050.72","3,050.72","3,066.95",16.19,16.23
31-Oct-2019,"3,037.56",-9.21,-0.30%,"3,046.90","3,023.19","3,046.90",-9.34,23.71
30-Oct-2019,"3,046.77",+9.88,+0.33%,"3,039.74","3,025.96","3,050.10",7.03,24.14
29-Oct-2019,"3,036.89",-2.53,-0.08%,"3,035.39","3,034.81","3,047.87",1.50,13.06
28-Oct-2019,"3,039.42",+16.87,+0.56%,"3,032.12","3,032.12","3,044.08",7.30,11.96
25-Oct-2019,"3,022.55",+12.26,+0.41%,"3,003.32","3,001.94","3,027.39",19.23,25.45
24-Oct-2019,"3,010.29",+5.77,+0.19%,"3,014.78","3,000.42","3,016.07",-4.49,15.65
23-Oct-2019,"3,004.52",+8.53,+0.28%,"2,994.01","2,991.21","3,004.78",10.51,13.57
22-Oct-2019,"2,995.99",-10.73,-0.36%,"3,010.73","2,995.04","3,014.57",-14.74,19.53
21-Oct-2019,"3,006.72",+20.52,+0.69%,"2,996.48","2,995.35","3,007.33",10.24,11.98
18-Oct-2019,"2,986.20",-11.75,-0.39%,"2,996.84","2,976.31","3,000.00",-10.64,23.69
17-Oct-2019,"2,997.95",+8.26,+0.28%,"3,000.77","2,991.79","3,008.29",-2.82,16.50
16-Oct-2019,"2,989.69",-5.99,-0.20%,"2,989.68","2,985.20","2,997.54",0.01,12.34
15-Oct-2019,"2,995.68",+29.53,+1.00%,"2,973.61","2,973.61","3,003.28",22.07,29.67
14-Oct-2019,"2,966.15",-4.12,-0.14%,"2,965.81","2,962.94","2,972.84",0.34,9.90
11-Oct-2019,"2,970.27",+32.14,+1.09%,"2,963.07","2,963.07","2,993.28",7.20,30.21
10-Oct-2019,"2,938.13",+18.73,+0.64%,"2,918.55","2,917.12","2,948.46",19.58,31.34
09-Oct-2019,"2,919.40",+26.34,+0.91%,"2,911.10","2,907.41","2,929.32",8.30,21.91
08-Oct-2019,"2,893.06",-45.73,-1.56%,"2,920.40","2,892.66","2,925.47",-27.34,32.81
07-Oct-2019,"2,938.79",-13.22,-0.45%,"2,944.23","2,935.68","2,959.75",-5.44,24.07
04-Oct-2019,"2,952.01",+41.38,+1.42%,"2,918.56","2,918.56","2,953.74",33.45,35.18
03-Oct-2019,"2,910.63",+23.02,+0.80%,"2,885.38","2,855.94","2,911.13",25.25,55.19
02-Oct-2019,"2,887.61",-52.64,-1.79%,"2,924.78","2,874.93","2,924.78",-37.17,49.85
01-Oct-2019,"2,940.25",-36.49,-1.23%,"2,983.69","2,938.70","2,992.53",-43.44,53.83
30-Sep-2019,"2,976.74",+14.95,+0.50%,"2,967.07","2,967.07","2,983.85",9.67,16.78
27-Sep-2019,"2,961.79",-15.83,-0.53%,"2,985.47","2,945.53","2,987.31",-23.68,41.78
26-Sep-2019,"2,977.62",-7.25,-0.24%,"2,985.73","2,963.71","2,987.28",-8.11,23.57
25-Sep-2019,"2,984.87",+18.27,+0.62%,"2,968.35","2,952.86","2,989.82",16.52,36.96
24-Sep-2019,"2,966.60",-25.18,-0.84%,"3,002.43","2,957.73","3,007.98",-35.83,50.25
23-Sep-2019,"2,991.78",-0.29,-0.01%,"2,983.50","2,982.23","2,999.15",8.28,16.92
20-Sep-2019,"2,992.07",-14.72,-0.49%,"3,008.42","2,984.68","3,016.37",-16.35,31.69
19-Sep-2019,"3,006.79",+0.06,+0.00%,"3,010.36","3,003.16","3,021.99",-3.57,18.83
18-Sep-2019,"3,006.73",+1.03,+0.03%,"3,001.50","2,978.57","3,007.83",5.23,29.26
17-Sep-2019,"3,005.70",+7.74,+0.26%,"2,995.67","2,993.73","3,006.21",10.03,12.48
16-Sep-2019,"2,997.96",-9.43,-0.31%,"2,996.41","2,990.67","3,002.19",1.55,11.52
13-Sep-2019,"3,007.39",-2.18,-0.07%,"3,012.21","3,002.90","3,017.33",-4.82,14.43
12-Sep-2019,"3,009.57",+8.64,+0.29%,"3,009.08","3,000.92","3,020.74",0.49,19.82
11-Sep-2019,"3,000.93",+21.54,+0.72%,"2,981.41","2,975.31","3,000.93",19.52,25.62
10-Sep-2019,"2,979.39",+0.96,+0.03%,"2,971.01","2,957.01","2,979.39",8.38,22.38
09-Sep-2019,"2,978.43",-0.28,-0.01%,"2,988.43","2,969.39","2,989.43",-10.00,20.04
06-Sep-2019,"2,978.71",+2.71,+0.09%,"2,980.33","2,972.51","2,985.03",-1.62,12.52
05-Sep-2019,"2,976.00",+38.22,+1.30%,"2,960.60","2,960.60","2,985.86",15.40,25.26
04-Sep-2019,"2,937.78",+31.51,+1.08%,"2,924.67","2,921.86","2,938.84",13.11,16.98
03-Sep-2019,"2,906.27",-20.19,-0.69%,"2,909.01","2,891.85","2,914.39",-2.74,22.54
30-Aug-2019,"2,926.46",+1.88,+0.06%,"2,937.09","2,913.32","2,940.43",-10.63,27.11
29-Aug-2019,"2,924.58",+36.64,+1.27%,"2,910.37","2,905.67","2,930.50",14.21,24.83
28-Aug-2019,"2,887.94",+18.78,+0.65%,"2,861.28","2,853.05","2,890.03",26.66,36.98
27-Aug-2019,"2,869.16",-9.22,-0.32%,"2,893.14","2,860.59","2,898.79",-23.98,38.20
26-Aug-2019,"2,878.38",+31.27,+1.10%,"2,866.70","2,856.00","2,879.27",11.68,23.27
23-Aug-2019,"2,847.11",-75.84,-2.59%,"2,911.07","2,834.97","2,927.01",-63.96,92.04
22-Aug-2019,"2,922.95",-1.48,-0.05%,"2,930.94","2,904.51","2,939.08",-7.99,34.57
21-Aug-2019,"2,924.43",+23.92,+0.82%,"2,922.04","2,917.91","2,928.73",2.39,10.82
20-Aug-2019,"2,900.51",-23.14,-0.79%,"2,919.01","2,899.60","2,923.63",-18.50,24.03
19-Aug-2019,"2,923.65",+34.97,+1.21%,"2,913.48","2,913.48","2,931.00",10.17,17.52
16-Aug-2019,"2,888.68",+41.08,+1.44%,"2,864.74","2,864.74","2,893.63",23.94,28.89
15-Aug-2019,"2,847.60",+7.00,+0.25%,"2,846.20","2,825.51","2,856.67",1.40,31.16
14-Aug-2019,"2,840.60",-85.72,-2.93%,"2,894.15","2,839.64","2,894.15",-53.55,54.51
13-Aug-2019,"2,926.32",+42.57,+1.48%,"2,880.72","2,877.05","2,943.31",45.60,66.26
12-Aug-2019,"2,883.75",-34.90,-1.20%,"2,907.07","2,873.14","2,907.58",-23.32,34.44
09-Aug-2019,"2,918.65",-19.44,-0.66%,"2,930.51","2,900.15","2,935.75",-11.86,35.60
08-Aug-2019,"2,938.09",+54.11,+1.88%,"2,896.21","2,894.47","2,938.72",41.88,44.25
07-Aug-2019,"2,883.98",+2.21,+0.08%,"2,858.65","2,825.71","2,892.17",25.33,66.46
06-Aug-2019,"2,881.77",+37.03,+1.30%,"2,861.18","2,847.42","2,884.40",20.59,36.98
05-Aug-2019,"2,844.74",-87.31,-2.98%,"2,898.07","2,822.12","2,898.07",-53.33,75.95
02-Aug-2019,"2,932.05",-21.51,-0.73%,"2,943.90","2,914.11","2,945.50",-11.85,31.39
01-Aug-2019,"2,953.56",-26.82,-0.90%,"2,980.32","2,945.23","3,013.59",-26.76,68.36
31-Jul-2019,"2,980.38",-32.80,-1.09%,"3,016.22","2,958.08","3,017.40",-35.84,59.32
30-Jul-2019,"3,013.18",-7.79,-0.26%,"3,007.66","3,000.94","3,017.19",5.52,16.25
29-Jul-2019,"3,020.97",-4.89,-0.16%,"3,024.47","3,014.30","3,025.61",-3.50,11.31
26-Jul-2019,"3,025.86",+22.19,+0.74%,"3,013.25","3,012.59","3,027.98",12.61,15.39
25-Jul-2019,"3,003.67",-15.89,-0.53%,"3,016.26","2,997.24","3,016.31",-12.59,19.07
24-Jul-2019,"3,019.56",+14.09,+0.47%,"2,998.77","2,996.82","3,019.59",20.79,22.77
23-Jul-2019,"3,005.47",+20.44,+0.68%,"2,994.74","2,988.56","3,005.90",10.73,17.34
22-Jul-2019,"2,985.03",+8.42,+0.28%,"2,981.93","2,976.65","2,990.71",3.10,14.06
19-Jul-2019,"2,976.61",-18.50,-0.62%,"3,004.26","2,975.86","3,006.02",-27.65,30.16
18-Jul-2019,"2,995.11",+10.69,+0.36%,"2,978.87","2,973.09","2,998.28",16.24,25.19
17-Jul-2019,"2,984.42",-19.62,-0.65%,"3,005.10","2,984.25","3,005.26",-20.68,21.01
16-Jul-2019,"3,004.04",-10.26,-0.34%,"3,012.13","3,001.15","3,015.02",-8.09,13.87
15-Jul-2019,"3,014.30",+0.53,+0.02%,"3,017.80","3,008.77","3,017.80",-3.50,9.03
12-Jul-2019,"3,013.77",+13.86,+0.46%,"3,003.36","3,001.87","3,013.92",10.41,12.05
11-Jul-2019,"2,999.91",+6.84,+0.23%,"2,999.62","2,988.80","3,002.33",0.29,13.53
10-Jul-2019,"2,993.07",+13.44,+0.45%,"2,989.30","2,984.62","3,002.98",3.77,18.36
09-Jul-2019,"2,979.63",+3.68,+0.12%,"2,965.52","2,963.44","2,981.90",14.11,18.46
08-Jul-2019,"2,975.95",-14.46,-0.48%,"2,979.77","2,970.09","2,980.76",-3.82,10.67
05-Jul-2019,"2,990.41",-5.41,-0.18%,"2,984.25","2,967.97","2,994.03",6.16,26.06
03-Jul-2019,"2,995.82",+22.81,+0.77%,"2,978.08","2,977.96","2,995.84",17.74,17.88
02-Jul-2019,"2,973.01",+8.68,+0.29%,"2,964.66","2,955.92","2,973.21",8.35,17.29
01-Jul-2019,"2,964.33",+22.57,+0.77%,"2,971.41","2,952.22","2,977.93",-7.08,25.71
28-Jun-2019,"2,941.76",+16.84,+0.58%,"2,932.94","2,929.05","2,943.98",8.82,14.93
27-Jun-2019,"2,924.92",+11.14,+0.38%,"2,919.66","2,918.57","2,929.30",5.26,10.73
26-Jun-2019,"2,913.78",-3.60,-0.12%,"2,926.07","2,912.99","2,932.59",-12.29,19.60
25-Jun-2019,"2,917.38",-27.97,-0.95%,"2,945.78","2,916.01","2,946.52",-28.40,30.51
24-Jun-2019,"2,945.35",-5.11,-0.17%,"2,951.42","2,944.05","2,954.92",-6.07,10.87
21-Jun-2019,"2,950.46",-3.72,-0.13%,"2,952.71","2,946.87","2,964.15",-2.25,17.28
20-Jun-2019,"2,954.18",+27.72,+0.95%,"2,949.60","2,931.50","2,958.06",4.58,26.56
19-Jun-2019,"2,926.46",+8.71,+0.30%,"2,920.55","2,911.43","2,931.74",5.91,20.31
18-Jun-2019,"2,917.75",+28.08,+0.97%,"2,906.71","2,905.44","2,930.79",11.04,25.35
17-Jun-2019,"2,889.67",+2.69,+0.09%,"2,889.75","2,887.30","2,897.27",-0.08,9.97
14-Jun-2019,"2,886.98",-4.66,-0.16%,"2,886.82","2,879.62","2,894.45",0.16,14.83
